score_variant,side,threshold,horizon,n,dates,pooled_mean_exqqq,equal_date_mean_exqqq,date_ci_lo,date_ci_hi,event_directional_hit,date_directional_hit
score_no_wall,UP,76,10,145,3,0.007696951573258297,-0.011096209164895968,-0.0572216338726567,0.018201663387398953,0.6137931034482759,0.6666666666666666
score_no_wall,DOWN,40,1,568,10,-0.0014411920662174146,-0.0025887821505440117,-0.007103455286070411,0.00118800938564406,0.5580985915492958,0.5
score_no_wall,DOWN,40,3,529,8,-0.0049008221833752065,-0.011157769128820886,-0.019436946748174914,-0.0032830152004572673,0.5746691871455577,0.75
score_no_wall,DOWN,40,5,501,7,-0.010607706005396995,-0.018229051299985748,-0.026756104644586373,-0.00927131356016903,0.6087824351297405,0.8571428571428571
score_no_wall,DOWN,40,10,307,4,-0.02513234565010403,-0.0366609230660999,-0.05340362895130071,-0.024203154229302616,0.6710097719869706,1.0
score_no_wall,DOWN,36,1,337,10,-0.0005477990102268909,2.3917984380360245e-06,-0.0073176808318134,0.007229941683798337,0.5370919881305638,0.6
score_no_wall,DOWN,36,3,322,8,-0.004323038831873095,-0.009714539109132574,-0.023525590071727418,0.00011785673352837037,0.5807453416149069,0.75
score_no_wall,DOWN,36,5,310,7,-0.01263838543754962,-0.01079459287852212,-0.01772549303451785,-0.004556723867618789,0.6161290322580645,0.8571428571428571
score_no_wall,DOWN,36,10,182,4,-0.0382918250348689,-0.05706263837336638,-0.11135905503995505,-0.021729734229795624,0.7362637362637363,1.0
score_no_wall,DOWN,32,1,337,10,-0.0005477990102268909,2.3917984380360245e-06,-0.007235344956043593,0.007062059226345619,0.5370919881305638,0.6
score_no_wall,DOWN,32,3,322,8,-0.004323038831873095,-0.009714539109132574,-0.023549466127483615,0.00020116063217118016,0.5807453416149069,0.75
score_no_wall,DOWN,32,5,310,7,-0.01263838543754962,-0.01079459287852212,-0.01759236854036439,-0.00460237284307175,0.6161290322580645,0.8571428571428571
score_no_wall,DOWN,32,10,182,4,-0.0382918250348689,-0.05706263837336638,-0.11135905503995505,-0.021729734229795628,0.7362637362637363,1.0
score_no_wall,DOWN,28,1,258,10,-0.0020567721892356954,-0.0017266480066735225,-0.008296028743409827,0.004414517665595232,0.5503875968992248,0.6
score_no_wall,DOWN,28,3,246,8,-0.008115125326682474,-0.011650100318938088,-0.024577743904568104,-0.0030777269273090796,0.6097560975609756,0.75
score_no_wall,DOWN,28,5,238,7,-0.01531882968295642,-0.011496600786010714,-0.018527007224232443,-0.005110309318704075,0.6260504201680672,0.8571428571428571
score_no_wall,DOWN,28,10,136,4,-0.039220497338127505,-0.05760957059519032,-0.11142782992906625,-0.022207891562508346,0.7573529411764706,1.0
score_no_wall,DOWN,24,1,119,5,-0.006126837478081132,0.010429265641567011,-0.01174302993693169,0.04269467312259363,0.5882352941176471,0.4
score_no_wall,DOWN,24,3,119,5,-0.011340087904056124,-0.0011297140099145366,-0.01666111807789767,0.014401690058068597,0.6470588235294118,0.4
score_no_wall,DOWN,24,5,114,4,-0.018046057727555857,-0.005547371734626598,-0.027158635744628297,0.02332990886841533,0.6140350877192983,0.75
score_no_wall,DOWN,24,10,71,2,-0.056307415732281645,-0.0580822637733428,,,0.8591549295774648,1.0
score_tech_only,UP,60,1,1098,10,-0.000213193020104359,-0.003674439983012022,-0.008497883610967013,0.001362300010309901,0.45901639344262296,0.4
score_tech_only,UP,60,3,1047,8,-0.0005919696958058086,-0.005680811443789983,-0.01592662954596184,0.0054954149063956735,0.4813753581661891,0.375
score_tech_only,UP,60,5,1014,7,-0.0036560138064654136,-0.003000147542795235,-0.015706931712245197,0.008610791616467339,0.4368836291913215,0.42857142857142855
score_tech_only,UP,60,10,608,4,3.466907846555675e-05,-0.00708206301614769,-0.01615352499341287,0.0019344479856845246,0.5213815789473685,0.25
score_tech_only,UP,64,1,257,9,0.001763784128251067,-0.006172489259426321,-0.0147175771275849,0.002826670956895968,0.5136186770428015,0.3333333333333333
score_tech_only,UP,64,3,239,7,0.0076043943755985605,-0.01688522335449275,-0.0355410223748614,0.0038747049970255434,0.6317991631799164,0.2857142857142857
score_tech_only,UP,64,5,234,6,0.0007941890811908183,-0.02196891844465827,-0.04936514680550413,0.003931118471049869,0.5128205128205128,0.3333333333333333
score_tech_only,UP,64,10,179,3,0.002921723738620785,-0.018677010813909156,-0.07042898139575846,0.011488612008933486,0.5698324022346368,0.6666666666666666
score_tech_only,UP,68,1,257,9,0.001763784128251067,-0.006172489259426321,-0.014698374472017531,0.00263023994920332,0.5136186770428015,0.3333333333333333
score_tech_only,UP,68,3,239,7,0.0076043943755985605,-0.01688522335449275,-0.03612694432305178,0.003961953331972517,0.6317991631799164,0.2857142857142857
score_tech_only,UP,68,5,234,6,0.0007941890811908183,-0.02196891844465827,-0.04762363615557982,0.0033667047308733136,0.5128205128205128,0.3333333333333333
score_tech_only,UP,68,10,179,3,0.002921723738620785,-0.018677010813909156,-0.07042898139575846,0.011488612008933486,0.5698324022346368,0.6666666666666666
score_tech_only,DOWN,40,1,727,10,-0.0005778549155098391,-0.001365090415479768,-0.00612038659521592,0.002584089033568606,0.5378266850068776,0.5
score_tech_only,DOWN,40,3,683,8,-0.005795945178786227,-0.010075349920033769,-0.018279385227636377,-0.0025427749888073297,0.5973645680819912,0.625
score_tech_only,DOWN,40,5,644,7,-0.011919296838413704,-0.013531980927753323,-0.021300294687021753,-0.006038294433194586,0.6366459627329193,0.8571428571428571
score_tech_only,DOWN,40,10,360,4,-0.023699518321508725,-0.03535674936849542,-0.05753488440963746,-0.022217084628933043,0.6861111111111111,1.0
score_tech_only,DOWN,36,1,233,6,-0.0022295857883399346,-0.004145633327296485,-0.013690466648021482,0.006850356120533225,0.5493562231759657,0.6666666666666666
score_tech_only,DOWN,36,3,231,5,-0.004421731038788407,-0.012746537186668249,-0.04405148692495048,0.014754440879749971,0.6060606060606061,0.6
score_tech_only,DOWN,36,5,220,4,-0.015079850255294987,-0.028200210743603835,-0.05706080310838023,-0.009958853643100658,0.6363636363636364,1.0
score_tech_only,DOWN,36,10,134,2,-0.04919792447341517,-0.04923374569867779,,,0.8134328358208955,1.0
score_tech_only,DOWN,32,1,233,6,-0.0022295857883399346,-0.004145633327296485,-0.014164222755482264,0.006717749095597289,0.5493562231759657,0.6666666666666666
score_tech_only,DOWN,32,3,231,5,-0.004421731038788407,-0.012746537186668249,-0.04405148692495048,0.013038039568070037,0.6060606060606061,0.6
score_tech_only,DOWN,32,5,220,4,-0.015079850255294987,-0.028200210743603835,-0.05706080310838023,-0.009958853643100658,0.6363636363636364,1.0
score_tech_only,DOWN,32,10,134,2,-0.04919792447341517,-0.04923374569867779,,,0.8134328358208955,1.0
