date,n,top_n,bottom_n,top,bottom,spread,feature,horizon,note
2026-08-18,606,65,94,0.007600487361597694,0.004154390819742008,0.0034460965418556862,options_score,5,higher=bullish
2026-08-19,604,121,88,0.008249564700363221,-0.0038332079672029587,0.01208277266756618,options_score,5,higher=bullish
2026-08-21,56,12,7,-0.016536519117638485,-0.007390866640263586,-0.009145652477374899,options_score,5,higher=bullish
2026-08-24,728,139,121,-0.02160318163427101,-0.024281181095175516,0.002677999460904506,options_score,5,higher=bullish
2026-08-25,82,17,11,-0.02608936764981027,-0.0032161045100138636,-0.02287326313979641,options_score,5,higher=bullish
2026-08-27,55,8,5,-0.015519902287474099,-0.01093079512594354,-0.004589107161530558,options_score,5,higher=bullish
2026-08-18,606,177,137,0.022032105832047767,-0.0006844959498385838,0.02271660178188635,combined_score_rebuilt,5,higher=bullish
2026-08-19,604,112,130,0.01024169267270501,-0.004219408634140917,0.014461101306845928,combined_score_rebuilt,5,higher=bullish
2026-08-21,56,12,11,-0.018620659605087405,-0.013622580789141369,-0.004998078815946036,combined_score_rebuilt,5,higher=bullish
2026-08-24,728,140,145,-0.028212086831959443,-0.02641128472352526,-0.0018008021084341824,combined_score_rebuilt,5,higher=bullish
2026-08-25,82,17,17,-0.029872954109138098,-0.019438605636196246,-0.010434348472941852,combined_score_rebuilt,5,higher=bullish
2026-08-27,55,9,11,-0.013372759100367112,-0.011893728851785725,-0.0014790302485813873,combined_score_rebuilt,5,higher=bullish
2026-08-18,575,116,115,0.01880682537728,0.0034177782079864347,0.015389047169293566,flip_dist_atr,5,higher=bullish
2026-08-19,575,116,115,0.010842950365278962,-0.0025026659853913066,0.013345616350670268,flip_dist_atr,5,higher=bullish
2026-08-21,36,8,7,0.0032028497695496634,-0.007938723177729612,0.011141572947279275,flip_dist_atr,5,higher=bullish
2026-08-24,615,124,123,-0.029807547550878503,-0.026495157319660054,-0.003312390231218449,flip_dist_atr,5,higher=bullish
2026-08-25,45,10,9,-0.02494922724996757,-0.025392509706722452,0.0004432824567548836,flip_dist_atr,5,higher=bullish
2026-08-27,31,7,6,0.0192298390952218,-0.0006432434822791171,0.01987308257750092,flip_dist_atr,5,higher=bullish
2026-08-18,269,54,53,0.004659553849069315,0.007235238609006265,-0.00257568475993695,log_wall_rr,5,higher=bullish
2026-08-19,590,119,118,0.0011285133271983013,0.010937411073929272,-0.009808897746730971,log_wall_rr,5,higher=bullish
2026-08-21,40,9,8,-0.010669574113728835,0.007396042873258712,-0.018065616986987547,log_wall_rr,5,higher=bullish
2026-08-24,699,140,139,-0.02333736525764696,-0.02766004070679346,0.004322675449146499,log_wall_rr,5,higher=bullish
2026-08-25,57,12,11,-0.022539480899176886,-0.015518188460939619,-0.007021292438237268,log_wall_rr,5,higher=bullish
2026-08-27,38,8,7,-0.030470052045715526,-0.008083074516616443,-0.022386977529099083,log_wall_rr,5,higher=bullish
2026-08-18,593,119,118,0.006736556234133349,-0.0022113583542933946,0.008947914588426744,signed_log_gex_per_oi,5,higher test only; dealer side unknown
2026-08-19,593,119,118,0.004769626952272218,-0.0011146434019580502,0.005884270354230268,signed_log_gex_per_oi,5,higher test only; dealer side unknown
2026-08-21,40,9,8,0.006854689958447844,-0.019595086256353034,0.02644977621480088,signed_log_gex_per_oi,5,higher test only; dealer side unknown
2026-08-24,701,141,140,-0.032227643864317014,-0.02600211211774074,-0.0062255317465762725,signed_log_gex_per_oi,5,higher test only; dealer side unknown
2026-08-25,57,12,11,-0.019817603973168788,-0.018090474123058836,-0.001727129850109952,signed_log_gex_per_oi,5,higher test only; dealer side unknown
2026-08-27,39,8,7,-0.0032041883899576636,-0.0029020822503112715,-0.000302106139646392,signed_log_gex_per_oi,5,higher test only; dealer side unknown
2026-08-18,287,29,49,0.017322291308025903,-0.00371541302493972,0.021037704332965625,options_score,5,quality-gated
2026-08-19,282,61,43,0.01096433184363168,-0.001050521987242191,0.01201485383087387,options_score,5,quality-gated
2026-08-24,128,28,18,-0.008231310890763528,-0.003870605002516166,-0.004360705888247361,options_score,5,quality-gated
2026-08-18,606,43,70,0.011488612008933486,-0.04843373833447938,0.05992235034341287,tech_score,10,higher=bullish
2026-08-19,604,131,166,0.002909336945097503,-0.026040653611996006,0.02894999055709351,tech_score,10,higher=bullish
