sample,model,metric,dates,mean,ci_lo,ci_hi,delta_vs_base,delta_ci_lo,delta_ci_hi,improved_date_fraction
strict_common,base+all_rr,spread,6,0.02120007131531092,0.008561490589918914,0.03518701999493199,0.01608866929582509,0.010821644028816878,0.021508253570445474,1.0
strict_common,base+all_rr,mse,6,0.002353275253319178,0.001987672187207059,0.0028243218054112697,-0.00013911421130007097,-0.00027661733478574453,1.376859088149645e-05,0.8333333333333334
strict_common,base+depth,ic,6,0.1155060882313192,0.06952938399758753,0.17212225245265364,0.06063733124000074,0.017965750922029216,0.1036514783164376,0.8333333333333334
strict_common,base+depth,spread,6,0.020144198366053773,0.008503897980289806,0.032554180949539414,0.01503279634656794,0.010712282940014715,0.019568526049638876,1.0
strict_common,base+depth,mse,6,0.002337594788935352,0.0019747111031393266,0.0027841654461765344,-0.00015479467568389708,-0.00029329117771489884,1.068229013160121e-05,0.8333333333333334
strict_common,base+depth+flip,ic,6,0.11539091574802775,0.07103965477596254,0.17017404921558665,0.06052215875670932,0.013628224177418638,0.10600104485097474,0.8333333333333334
strict_common,base+depth+flip,spread,6,0.015825016446348296,0.005424440827455713,0.028320534809572223,0.010713614426862464,-0.003109537469741203,0.02340986027753152,0.8333333333333334
strict_common,base+depth+flip,mse,6,0.0023422769104965656,0.0019753016136085364,0.002817777143629249,-0.00015011255412268384,-0.000281218859892392,5.223249440732628e-06,0.8333333333333334
strict_common,base+depth+flip+gex,ic,6,0.11412921305423318,0.056151428432748264,0.17833542431203528,0.059260456062914746,0.01875801899837766,0.09364618283690494,0.8333333333333334
strict_common,base+depth+flip+gex,spread,6,0.015852353298107923,0.007330854412821092,0.026848001474101532,0.010740951278622091,0.0035907059641910265,0.017956630876706813,0.8333333333333334
strict_common,base+depth+flip+gex,mse,6,0.0023459097685498433,0.0019791159392162872,0.002820634845936974,-0.00014647969606940573,-0.0002804389371555697,1.7758880055016334e-05,0.8333333333333334
strict_common,base+depth+flip+wall_dist,ic,6,0.08410634222179057,0.009606592938893285,0.16108864261233163,0.029237585230472134,-0.014369874958795997,0.07670771478335063,0.6666666666666666
strict_common,base+depth+flip+wall_dist,spread,6,0.014353452212449038,5.943439046782155e-05,0.028647470034430255,0.009242050192963206,0.003066161851648038,0.016153600355032004,0.8333333333333334
strict_common,base+depth+flip+wall_dist,mse,6,0.0023753464248318745,0.002015352785129871,0.0028256219369372925,-0.0001170430397873744,-0.0002962545431269351,8.041614860199496e-05,0.6666666666666666
strict_common,base+depth+flip+wall_rr,ic,6,0.11900280437557957,0.07302214965191374,0.1748037350702801,0.06413404738426111,0.018240823881281686,0.11665852713734785,0.8333333333333334
strict_common,base+depth+flip+wall_rr,spread,6,0.021817254453929753,0.010558475263100645,0.03322958942296724,0.01670585243444392,0.010037033959982268,0.02553829273426424,1.0
strict_common,base+depth+flip+wall_rr,mse,6,0.002348652799780448,0.001980389372391021,0.002825440785331434,-0.00014373666483880109,-0.0002767704900386673,1.01391277258168e-05,0.6666666666666666
strict_common,base+depth+gex,ic,6,0.11597678487359486,0.05862643859000083,0.1774914728394256,0.06110802788227641,0.021624185463455847,0.0942026149037367,0.8333333333333334
strict_common,base+depth+gex,spread,6,0.016188428590232794,0.008528423327665903,0.026343824396151447,0.011077026570746959,0.003953476655701722,0.018351390212795925,0.8333333333333334
strict_common,base+depth+gex,mse,6,0.0023405795712972814,0.0019779846402285316,0.0028119631691112916,-0.00015180989332196776,-0.0002874409270563533,1.5811572669534892e-05,0.8333333333333334
strict_common,base+depth+wall_rr,ic,6,0.11763419596017088,0.06752355817601514,0.1772310608787345,0.06276543896885246,0.018963150428565886,0.10294815201897951,0.8333333333333334
strict_common,base+depth+wall_rr,spread,6,0.01970048759799557,0.00847071871516899,0.032400154826361646,0.014589085578509735,0.009999138310987067,0.019985313043909558,1.0
strict_common,base+depth+wall_rr,mse,6,0.0023439638737198583,0.001979212650693218,0.002818391278895918,-0.0001484255908993904,-0.00028773800350893663,7.458321632655739e-06,0.8333333333333334
strict_common,base+flip,ic,6,0.056035279880736776,-0.02000059502892346,0.1511157731090473,0.0011665228894183251,-0.009247304309252176,0.014400268342091765,0.5
strict_common,base+flip,spread,6,0.006326061748534226,-0.0043722955699859,0.017856273466420658,0.001214659729048394,-0.001173470356219437,0.003712078938946629,0.6666666666666666
strict_common,base+flip,mse,6,0.0024923717260331266,0.0020345319898019496,0.0030389659127882085,-1.7738586122289662e-08,-7.4688273484038925e-06,8.609047396491994e-06,0.5
strict_common,base+oi,ic,6,0.11805239903959565,0.07490490383092199,0.17033789529157684,0.06318364204827721,0.018811724295079945,0.11180824747646723,0.8333333333333334
strict_common,base+oi,spread,6,0.019873661988572544,0.008064086954340672,0.03232812560312596,0.014762259969086712,0.010184294495598434,0.019567580965720744,1.0
strict_common,base+oi,mse,6,0.00233173170740879,0.0019627207666037994,0.002812407857750842,-0.000160657757210459,-0.0002982396646770405,-3.4256770135890403e-06,0.8333333333333334
strict_common,base+strikes,ic,6,0.0797754894939221,0.008447234215971605,0.16037911716892478,0.02490673250260365,0.00318977228776448,0.04815356363470144,0.6666666666666666
strict_common,base+strikes,spread,6,0.015367424872365754,0.0009248558985818512,0.030493591370363716,0.010256022852879923,0.005351195008934788,0.016123811363203438,1.0
strict_common,base+strikes,mse,6,0.002464716832837177,0.002037668670909677,0.0029732888864556564,-2.7672631782072583e-05,-8.074310958336393e-05,4.200804937940373e-05,0.8333333333333334
