sample,date,model,n,ic,spread,mse
strict_common,2026-08-19,base+depth+flip+wall_dist,575,0.10260516083421704,0.009802763301699236,0.0017208564614341684
strict_common,2026-08-19,base+all_rr,575,0.09637422360248449,0.010796461107635165,0.0017559919565080788
strict_common,2026-08-19,base+all_dist,575,0.10206717416553049,0.010920188600995516,0.001724134793711604
strict_common,2026-08-21,base,36,0.10630630630630632,0.019378045068424773,0.0022612080174486664
strict_common,2026-08-21,base+oi,36,0.1510939510939511,0.03930054363074892,0.0022363475918810286
strict_common,2026-08-21,base+strikes,36,0.14054054054054055,0.04261059562940503,0.002249626992506265
strict_common,2026-08-21,base+depth,36,0.1595881595881596,0.03930054363074892,0.0022368048363055944
strict_common,2026-08-21,base+flip,36,0.09292149292149292,0.015581904373056758,0.002248965464155054
strict_common,2026-08-21,base+depth+flip,36,0.1505791505791506,0.0006244655709003741,0.002252630122794847
strict_common,2026-08-21,base+depth+gex,36,0.18635778635778638,0.014286975041487973,0.0022412252445548515
strict_common,2026-08-21,base+depth+wall_rr,36,0.17554697554697557,0.03582857163976694,0.0022530568899323524
strict_common,2026-08-21,base+depth+flip+gex,36,0.17889317889317893,0.014286975041487973,0.0022422658302104718
strict_common,2026-08-21,base+depth+flip+wall_rr,36,0.16241956241956243,0.03623253484426856,0.0022694588064462447
strict_common,2026-08-21,base+depth+flip+wall_dist,36,0.11042471042471043,0.041981129735932675,0.0022735221279539075
strict_common,2026-08-21,base+all_rr,36,0.19099099099099098,0.04400930098366577,0.0022603999633179924
strict_common,2026-08-21,base+all_dist,36,0.12844272844272847,0.041861746908933635,0.0022632284422602197
strict_common,2026-08-24,base,615,-0.024416683576033972,-0.007125205356288928,0.002773797694578446
strict_common,2026-08-24,base+oi,615,0.06133562433173715,0.0030809810119272057,0.002440604862567858
strict_common,2026-08-24,base+strikes,615,0.03779337419087018,0.0039347427181488995,0.0027025780017447022
strict_common,2026-08-24,base+depth,615,0.06139059240401859,0.0030809810119272057,0.0024406974195579807
strict_common,2026-08-24,base+flip,615,-0.024125773243237118,-0.006219085390552367,0.00277721088769146
strict_common,2026-08-24,base+depth+flip,615,0.061223315093485914,0.0018782246068559001,0.002450747542335879
strict_common,2026-08-24,base+depth+gex,615,0.0660101803913616,0.003958916954622409,0.0024362367917450762
strict_common,2026-08-24,base+depth+wall_rr,615,0.051465772914873184,0.0007006613320183555,0.0024457751654093996
strict_common,2026-08-24,base+depth+flip+gex,615,0.05997713137313819,0.0018782246068559001,0.0024523128181597165
strict_common,2026-08-24,base+depth+flip+wall_rr,615,0.055119331209577856,0.0011876631276801705,0.0024550942234233693
strict_common,2026-08-24,base+depth+flip+wall_dist,615,0.057267651654454514,-7.610303640909893e-05,0.002420963518846688
strict_common,2026-08-24,base+all_rr,615,0.05317829533948002,0.0011876631276801705,0.002457811667485018
strict_common,2026-08-24,base+all_dist,615,0.055945013046147046,1.6082779893615562e-05,0.002422599797415166
strict_common,2026-08-25,base,45,-0.013702239789196309,-0.001728840980840092,0.002483950864232712
strict_common,2026-08-25,base+oi,45,0.08774703557312252,0.01462707441459397,0.0022424444229899036
strict_common,2026-08-25,base+strikes,45,-0.006324110671936758,0.011536770739384958,0.0024064622503343447
strict_common,2026-08-25,base+depth,45,0.08155467720685111,0.01462707441459397,0.002241868635867335
strict_common,2026-08-25,base+flip,45,-0.013965744400527008,0.004744756006601972,0.0024750381165370926
strict_common,2026-08-25,base+depth+flip,45,0.07891963109354413,0.017765037156543508,0.0022486687409166628
strict_common,2026-08-25,base+depth+gex,45,0.07681159420289854,0.017765037156543508,0.0022643199770626316
strict_common,2026-08-25,base+depth+wall_rr,45,0.08194993412384716,0.01462707441459397,0.0022551658213336837
strict_common,2026-08-25,base+depth+flip+gex,45,0.08919631093544136,0.017765037156543508,0.002263956158108838
strict_common,2026-08-25,base+depth+flip+wall_rr,45,0.06851119894598155,0.017765037156543508,0.0022624156263918605
strict_common,2026-08-25,base+depth+flip+wall_dist,45,-0.06231884057971014,-0.005430412511091727,0.0023585742566265347
strict_common,2026-08-25,base+all_rr,45,0.05322793148880104,0.017765037156543508,0.002280830462692374
strict_common,2026-08-25,base+all_dist,45,-0.06403162055335967,-0.010547025101554173,0.002377762315657499
strict_common,2026-08-27,base,31,-0.08629032258064517,-0.014060658197813745,0.001740750430687286
strict_common,2026-08-27,base+oi,31,0.06895161290322582,0.00965524367175421,0.001924716637033237
strict_common,2026-08-27,base+strikes,31,-0.029435483870967744,-0.009470550447326608,0.0018754383208056595
strict_common,2026-08-27,base+depth,31,0.056854838709677426,0.00965524367175421,0.0019316375569084303
strict_common,2026-08-27,base+flip,31,-0.05362903225806453,-0.011484705153169867,0.0017608884691587305
strict_common,2026-08-27,base+depth+flip,31,0.0653225806451613,0.022367664223614626,0.0019242062527583218
strict_common,2026-08-27,base+depth+gex,31,0.020564516129032262,0.00965524367175421,0.0019327746647349938
strict_common,2026-08-27,base+depth+wall_rr,31,0.057661290322580654,0.012397258723793112,0.0019295759133405195
strict_common,2026-08-27,base+depth+flip+gex,31,0.016532258064516133,0.00965524367175421,0.0019420146472083574
strict_common,2026-08-27,base+depth+flip+wall_rr,31,0.08991935483870969,0.022367664223614626,0.0019219263606137546
strict_common,2026-08-27,base+depth+flip+wall_dist,31,0.03387096774193548,0.0015668741361093454,0.0020876202887833446
strict_common,2026-08-27,base+all_rr,31,0.030645161290322586,0.00965524367175421,0.0019398456229151055
strict_common,2026-08-27,base+all_dist,31,0.00846774193548387,-0.0006535195364199692,0.0021031126376700677
