condition,horizon,n,dates,tickers,mean_exqqq,ci_lo,ci_hi,raw_mean,median_exqqq,win_exqqq,p_boot,q_bh
Call Wall 1-2ATR,5,534,6,425,-0.008211621041746785,-0.025223495966080797,0.008171040819117074,-0.006053888899229431,-0.007684058014576001,0.40823970037453183,0.48209825145711904,0.9711110306628534
Large move day |r|>=5%,5,158,6,125,-0.011772053179035673,-0.042425344868937225,0.023527645481971674,-0.015436916897736748,-0.017660505137657767,0.3924050632911392,0.6144879267277269,0.9711110306628534
Bull combo Flip+/EMA/VWAP/RR,5,218,6,183,-7.627548825423293e-05,-0.016712871371246357,0.01596396618346375,0.0007706154198671171,-0.004520071356001798,0.4541284403669725,0.9608659450457951,0.9869689012070361
20d return >10%,5,558,7,268,-0.0001981294262391514,-0.020477600742936485,0.015172011680268235,0.00016302717034242812,-0.0012087357660234832,0.489247311827957,0.9733555370524563,0.9869689012070361
Call Wall 0.5-1ATR,5,426,6,338,-1.1126876379350215e-05,-0.025181009520720485,0.015636628042463782,-0.0009613554796056204,-0.0017014044783819626,0.4765258215962441,0.9850124895920067,0.9918528541030623
GEX- & Flip below,10,234,3,155,-0.02589846708136871,-0.028478475692348525,-0.022305101313194343,-0.03714707942145714,-0.023034490804159757,0.32051282051282054,0.0008326394671107411,0.015091590341382181
Flip < -0.35ATR,10,237,3,157,-0.026787042868445653,-0.02943618735769033,-0.024198528668346014,-0.037958967091733506,-0.02346137269127535,0.31645569620253167,0.0008326394671107411,0.015091590341382181
Sector 20d momentum <0,10,233,4,164,-0.03585781117465486,-0.03987655453026543,-0.020454528051477797,-0.04524393219181209,-0.030507657190543602,0.1888412017167382,0.0008326394671107411,0.015091590341382181
Broad Direction score <=32,10,175,3,126,-0.04051478088310553,-0.04214016256198542,-0.03890782235414905,-0.051887083293210394,-0.04704254103069572,0.2342857142857143,0.0008326394671107411,0.015091590341382181
20d return <0,10,447,4,269,-0.01421287652997866,-0.01529682471325382,-0.01234425094024101,-0.02500766056813287,-0.012637778276719414,0.38031319910514544,0.004163197335553705,0.0503053011379406
Price < EMA21,10,550,4,346,-0.017735601524782815,-0.026318677029037986,-0.01622773264323137,-0.02846916782175,-0.01573430476845883,0.35818181818181816,0.004163197335553705,0.0503053011379406
Price < 63d VWAP,10,434,4,253,-0.02085732550855652,-0.03161987198826917,-0.019994709000196256,-0.031599974340303205,-0.019496889803975348,0.3248847926267281,0.004163197335553705,0.0503053011379406
Net GEX <0,10,399,4,244,-0.0224331908027747,-0.033513373629386604,-0.021157305428106267,-0.03289545916561272,-0.01929875442368756,0.3433583959899749,0.0033305578684429643,0.0503053011379406
Near flip regime,10,507,4,319,-0.011089141687282535,-0.02207401560137185,-0.005626589685501129,-0.02217130409124231,-0.013347945599034738,0.40039447731755423,0.02331390507910075,0.20595582112945096
Strikes >=20,10,666,3,340,-0.007092805691672201,-0.012609988430543183,-0.0024724056651443823,-0.018649249307444327,-0.0072768015178248935,0.4444444444444444,0.02997502081598668,0.2233555370524563
Call Wall 0-0.5ATR,10,348,3,293,-0.007126603806135826,-0.01001188435992042,-0.005810722716752893,-0.01779783268687406,-0.006123427338468768,0.4511494252873563,0.029142381348875937,0.2233555370524563
Flip near ±0.35ATR,10,180,3,142,-0.016652751635928838,-0.022615766488638812,-0.01440087291550235,-0.028018568532794417,-0.016204635278220025,0.4111111111111111,0.030807660283097418,0.2233555370524563
