sector_etf,provider_symbol,symbol,weight_pct,name,source_url,provider
FAN,2675928D.TT,2675928D.TW,0.0,Century Iron & Stee Industrial Co. Ltd.l - Rights,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=FAN,FIRSTTRUST
GRID,SU.FP,SU.PA,9.35,Schneider Electric SE,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ETN,ETN,8.64,Eaton Corporation Plc,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,JCI,JCI,8.12,Johnson Controls International Plc,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,ABBN.SW,ABBN.SW,7.86,ABB Ltd,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,PWR,PWR,7.34,"Quanta Services, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,NG/.LN,NG.L,4.24,National Grid Plc,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,EOAN.GY,EOAN.DE,4.19,E.ON SE,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,PRY.IM,PRY.MI,3.48,Prysmian SpA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,NVT,NVT,2.74,nVent Electric plc,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,HUBB,HUBB,2.43,Hubbell Incorporated,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,NVDA,NVDA,2.25,NVIDIA Corporation,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,TSLA,TSLA,1.82,"Tesla, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,TRN.IM,TRN.MI,1.81,TERNA - Rete Elettrica Nazionale SpA,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,CSCO,CSCO,1.69,"Cisco Systems, Inc.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,H.CT,H.CT,1.5,Hydro One Limited,https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
GRID,267260.KS,267260.KS,1.43,"HD Hyundai Electric Co., Ltd.",https://www.ftportfolios.com/Retail/Etf/EtfHoldings.aspx?Print=Y&Ticker=GRID,FIRSTTRUST
