engine,variant,timing,cost,policy,period,n,cagr,mdd,sharpe,sortino,calmar,daily_pf
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2024,252,0.9042489404894063,-0.18711277183434116,2.0305568425303484,3.0791701098304,4.832641468696622,1.4257406798820527
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2025,250,0.6862931781539536,-0.11782964365178816,1.9611844245981847,3.1544066404785904,5.824452632497956,1.42537508310276
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL10,NATIVE_NO_FILL,2026,54,-0.381839308217613,-0.2198339573349456,-1.004030633407176,-1.2838980478316817,-1.7369441593403663,0.8351378180325977
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,FULL,2568,0.44407237715195946,-0.2564312078355693,1.4304311564019552,2.178143227143238,1.7317407693868168,1.3181303325282487
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2016_2020,1259,0.5066899205445308,-0.25180074280829057,1.5894257898240531,2.5329336866681587,2.012265392442869,1.37610042697693
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2021_2025,1255,0.4374111560634799,-0.25643120783556916,1.4284789516609122,2.1224832591039875,1.7057641297074893,1.3050427899198058
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2022_2025,1003,0.45663179455929903,-0.20464993756732963,1.5351067971162906,2.3153197477552157,2.231282354577155,1.3474957538376524
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2022_2026_AVAILABLE,1057,0.39182224362212836,-0.2230987041655953,1.3334807430351867,1.969668772847555,1.7562730589923006,1.294974961501249
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2016,252,0.263569250284617,-0.16553278288528694,1.3300828203687165,1.9947200382135843,1.5922480471271279,1.2753290742881023
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2017,251,0.32891450452015225,-0.11172242625512374,1.6999386222458572,2.4775283277526556,2.9440329533218295,1.316235151613533
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2018,251,0.2567281021073351,-0.24281541966394204,0.8462307325321645,1.2635621294463306,1.0572973597090674,1.1862666135875883
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2019,252,0.3899252666944415,-0.1287533650645325,1.617450790046524,2.567296029969041,3.0284666074475566,1.3436421318488534
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2020,253,1.6381299013954926,-0.25180074280829023,2.549074651071638,4.411692719427314,6.5056595271551325,1.6772357103047892
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2021,252,0.36339084893726015,-0.25643120783556916,1.1037301299811317,1.582457334506393,1.417108518126532,1.1968119246540985
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2022,251,-0.07608594094363896,-0.13529362106862086,-0.34509101237154727,-0.45126287280956967,-0.5623764102303701,0.9128750832674832
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2023,250,0.5669815085685372,-0.14813899819475485,2.086767750180608,3.1510858585944335,3.8273615690524654,1.4616208977252776
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2024,252,0.8667309908850833,-0.19029446004466444,1.97269861818073,2.984242930436176,4.554683256053019,1.4111637421102232
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2025,250,0.6655243000061999,-0.11865204656531592,1.918124076335795,3.077767918336545,5.609041894105385,1.4142899774648081
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,ALL20,NATIVE_NO_FILL,2026,54,-0.4023479737327482,-0.22309870416559552,-1.088380807763319,-1.387469031012595,-1.8034527597887997,0.8226511082704243
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,FULL,2568,0.5120122225504862,-0.26367742221191204,1.5734466523344335,2.4239590818659185,1.9418129100905448,1.3567297044883206
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2016_2020,1259,0.5846028706697382,-0.24479097900449642,1.744361296575585,2.81790329178766,2.388171627268176,1.420914001184468
LEGACY_GROSS100,EARLY2,SAME_DAY_GROSS,BASE,SELECTIVE_FILL_NO_ZERO_OVERRIDE,2021_2025,1255,0.49733497413936556,-0.2636774222119117,1.5563172688308258,2.335567204139404,1.886149257556335,1.338795123260298
