period,method,dimension,bucket,n,mean20,median20,win20,pf20,mae20,p10_20
CONFIRM,M10_RSI60_DD075,mc_bucket,GE50_OTHER,1425,0.013204629059798797,-0.012111129425843359,0.45964912280701753,1.190448964097468,-0.13161817087417318,-0.20532554190137345
CONFIRM,M10_RSI60_DD075,mc_bucket,GE50_UP,2982,0.008884893267710164,-0.0055198797751391795,0.48390342052313884,1.1314518161096554,-0.1288723377742115,-0.21447056477346665
CONFIRM,M10_RSI60_DD075,mc_bucket,LT20,1340,0.02281781736276401,0.0142336771507251,0.5574626865671641,1.572222254736243,-0.09189682612316562,-0.13330750476976685
CONFIRM,M10_RSI60_DD075,sector_bucket,50_60,1375,0.01029170457569301,-0.00715035189929336,0.47563636363636363,1.1759569716571474,-0.11664775800222796,-0.19718086537961002
CONFIRM,M10_RSI60_DD075,sector_bucket,60_70,1224,0.012023961608195376,0.0010558146010635214,0.5032679738562091,1.2218519457631456,-0.11111605595136813,-0.1662677324498202
CONFIRM,M10_RSI60_DD075,sector_bucket,70_80,1374,0.011707178388952659,-0.00022862454977445792,0.4992721979621543,1.2119749292175304,-0.11220552336956753,-0.17636758047623247
CONFIRM,M10_RSI60_DD075,sector_bucket,GE80,4538,0.020357852914538614,0.0019620014904434555,0.5055090348171001,1.3417047818593475,-0.11877067432389976,-0.1862527561160275
CONFIRM,M10_RSI60_DD075,rs189_bucket,85_90,2637,0.01766480835218191,0.005932402423787343,0.5202882062950323,1.3931821260679915,-0.09299752159354778,-0.14387936595709294
CONFIRM,M10_RSI60_DD075,rs189_bucket,90_95,2600,0.010516703714415956,-0.002934654161286964,0.4896153846153846,1.2033654527181337,-0.10564936859481114,-0.15904845072160764
CONFIRM,M10_RSI60_DD075,rs189_bucket,GE95,3049,0.018759946046189534,-0.004130201233783159,0.4896687438504428,1.2596361567423382,-0.14222750171735093,-0.2239754374000866
CONFIRM,M10_RSI65_DD075,mc_bucket,20_50_NOTUP,1443,0.009451518366272069,-0.008554778624395687,0.4726264726264726,1.1721027317328496,-0.1101449516354977,-0.1663357338279055
CONFIRM,M10_RSI65_DD075,mc_bucket,20_50_UP,1930,0.021832286353471172,0.007571735775371847,0.5284974093264249,1.4631551718862634,-0.10137907125195604,-0.1489488993623047
CONFIRM,M10_RSI65_DD075,mc_bucket,GE50_OTHER,1964,0.018383895715088666,-0.001,0.4959266802443992,1.289090234615949,-0.12356416179929756,-0.1971173189850164
CONFIRM,M10_RSI65_DD075,mc_bucket,GE50_UP,3747,0.012559441961188227,-0.005937978714467883,0.48331998932479314,1.1908790366524207,-0.12715631287935106,-0.2066112522151408
CONFIRM,M10_RSI65_DD075,mc_bucket,LT20,1499,0.021099758542059237,0.012098838411213175,0.5496997998665777,1.5205786578315412,-0.09074897435191565,-0.12899149300285628
CONFIRM,M10_RSI65_DD075,sector_bucket,50_60,1855,0.011314312855460619,-0.005376411938760927,0.4884097035040431,1.19484481430694,-0.11513827936544233,-0.1849676134817491
CONFIRM,M10_RSI65_DD075,sector_bucket,60_70,1538,0.010823349318563946,0.0029842333269433094,0.5156046814044213,1.2056016846819346,-0.10949767088066628,-0.16636669589674247
