ticker,metric,period,current,revision_7d,source,fetched_at,record_type,up_7d,down_7d,up_30d,down_30d,revision_breadth_30d_pct,low,high,estimate_growth_pct
ACGL,eps,0q,2.46174,-0.0458,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,eps,+1q,1.837,-0.3368,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,eps,0y,9.28158,-0.056799997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,eps,+1y,9.80667,0.056599997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,0q,4202540500.0,-0.0335,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,+1q,3961169600.0,-0.0007,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,0y,16188469000.0,-0.0175,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACGL,revenue,+1y,16492124000.0,0.0188,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,0q,-0.2506,0.054,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,+1q,-0.25604,-1.2168,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,0y,-1.00689,-0.609,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,eps,+1y,-0.93422,0.0722,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,0q,1963710.0,0.0,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,+1q,2396000.0,0.0,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,0y,10051680.0,32.5056,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACHR,revenue,+1y,85853250.0,7.5412,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,0q,0.53841,-0.0211,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,+1q,0.4601,0.045700002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,0y,2.27461,0.0434,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,eps,+1y,2.44135,0.0733,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,0q,24842745090.0,-0.0015,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,+1q,19000667550.0,0.0045,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,0y,82468847070.0,-0.0085,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACI,revenue,+1y,83543286970.0,0.012999999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,0q,0.42,-0.22219999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,+1q,-0.125,-1.2049,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,0y,0.96,-0.5385,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,eps,+1y,1.015,0.0573,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,0q,75698000.0,-0.1245,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,+1q,82588000.0,,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,0y,310300000.0,-0.0749,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIC,revenue,+1y,326248000.0,0.0514,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,0q,0.53,0.5143,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,+1q,0.82667,-0.24159999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,0y,3.51667,0.24260001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,eps,+1y,3.84,0.0919,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,0q,430596250.0,0.0731,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,+1q,432101250.0,-0.1042,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,0y,1902134500.0,0.0809,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACIW,revenue,+1y,2046288000.0,0.0758,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,0q,0.894,-0.20879999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,+1q,1.04,-0.14050001,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,0y,3.834,-0.2143,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,eps,+1y,4.848,0.26450002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,0q,205037920.0,0.0539,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,+1q,214768780.0,0.0054,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,0y,843923510.0,0.0058,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACLS,revenue,+1y,925213930.0,0.0963,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,0q,1.48857,0.1109,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,+1q,1.60433,0.17969999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,0y,5.98336,0.1375,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,eps,+1y,6.7092,0.121300004,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,0q,4388621430.0,0.050300002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,+1q,4411758210.0,0.056599997,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,0y,16432375650.0,0.018099999,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACM,revenue,+1y,17373364150.0,0.0573,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,0q,0.33667,-0.3765,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,+1q,0.47333,0.3148,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,0y,1.67667,0.0414,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,eps,+1y,2.25333,0.3439,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,revenue,0q,269236570.0,0.25010002,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
ACMR,revenue,+1q,324604710.0,0.206,yfinance,2026-07-22T12:20:48.089065Z,,,,,,,,,
